month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,15,19,06:33 AM,05:26 PM,10:56 AM,11:31 PM,7,NE,0.0,63,69,1023,Cloudy
12,30,15,20,06:33 AM,05:25 PM,10:21 AM,10:41 PM,6,ESE,0.3,67,65,1023,Overcast
12,29,17,22,06:32 AM,05:25 PM,09:45 AM,09:50 PM,6,ENE,1.6,71,75,1020,Moderate rain at times
12,28,17,20,06:32 AM,05:24 PM,09:06 AM,08:57 PM,5,SSE,0.0,72,90,1021,Overcast
12,27,12,20,06:31 AM,05:23 PM,08:24 AM,08:02 PM,5,SSE,0.0,55,53,1022,Cloudy
12,26,8,21,06:31 AM,05:23 PM,07:37 AM,07:04 PM,5,ESE,0.0,39,3,1024,Sunny
12,25,8,20,06:30 AM,05:22 PM,06:44 AM,06:02 PM,6,ENE,0.0,41,4,1025,Sunny
12,24,11,18,06:30 AM,05:22 PM,05:47 AM,05:00 PM,11,NNE,0.0,46,17,1025,Sunny
12,23,14,17,06:29 AM,05:21 PM,04:44 AM,03:58 PM,9,NNE,0.0,60,63,1021,Overcast
12,22,16,22,06:29 AM,05:21 PM,03:40 AM,02:59 PM,7,NE,0.0,58,59,1020,Cloudy
12,21,16,24,06:28 AM,05:20 PM,02:35 AM,02:05 PM,4,SE,0.0,67,62,1019,Cloudy
12,20,12,23,06:28 AM,05:20 PM,01:33 AM,01:16 PM,4,ENE,0.0,68,11,1019,Partly cloudy
12,19,13,22,06:27 AM,05:19 PM,12:32 AM,12:30 PM,5,ENE,0.0,64,31,1020,Partly cloudy
12,18,14,19,06:27 AM,05:19 PM,No moonrise,11:49 AM,6,ENE,0.0,70,61,1024,Overcast
12,17,14,19,06:26 AM,05:18 PM,11:34 PM,11:09 AM,6,NE,0.0,61,58,1024,Cloudy
12,16,14,18,06:26 AM,05:18 PM,10:36 PM,10:29 AM,9,NNE,0.0,59,60,1024,Cloudy
12,15,14,20,06:25 AM,05:18 PM,09:40 PM,09:49 AM,7,ENE,0.0,63,53,1021,Cloudy
12,14,13,24,06:25 AM,05:17 PM,08:43 PM,09:06 AM,5,SSE,0.0,63,22,1019,Partly cloudy
12,13,10,22,06:24 AM,05:17 PM,07:47 PM,08:21 AM,5,ENE,0.0,55,6,1020,Sunny
12,12,9,20,06:23 AM,05:17 PM,06:51 PM,07:34 AM,7,SE,0.0,55,7,1022,Sunny
12,11,9,18,06:23 AM,05:16 PM,05:56 PM,06:44 AM,8,ESE,0.0,53,8,1024,Sunny
12,10,12,16,06:22 AM,05:16 PM,05:04 PM,05:53 AM,12,ENE,0.0,58,35,1026,Partly cloudy
12,9,12,17,06:22 AM,05:16 PM,04:14 PM,05:01 AM,10,NNE,0.0,64,60,1024,Overcast
12,8,15,18,06:21 AM,05:15 PM,03:29 PM,04:08 AM,12,ENE,2.1,74,83,1021,Patchy rain possible
12,7,18,19,06:20 AM,05:15 PM,02:47 PM,03:17 AM,7,E,1.3,90,98,1018,Patchy rain possible
12,6,19,22,06:20 AM,05:15 PM,02:08 PM,02:27 AM,4,SSW,0.0,84,85,1017,Overcast
12,5,15,25,06:19 AM,05:15 PM,01:32 PM,01:38 AM,4,S,0.0,74,16,1017,Sunny
12,4,13,23,06:18 AM,05:15 PM,12:57 PM,12:49 AM,5,SE,0.0,73,18,1017,Partly cloudy
12,3,13,23,06:18 AM,05:14 PM,12:23 PM,No moonset,5,E,0.0,66,1,1017,Sunny
12,2,13,22,06:17 AM,05:14 PM,11:49 AM,12:00 AM,7,SE,0.0,69,12,1019,Sunny
