month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,16,19,06:33 AM,05:26 PM,03:36 AM,02:55 PM,3,E,0.0,72,94,1023,Overcast
12,30,15,17,06:33 AM,05:26 PM,02:30 AM,02:05 PM,8,NE,0.4,66,100,1024,Overcast
12,29,15,19,06:32 AM,05:25 PM,01:30 AM,01:22 PM,7,NE,0.0,65,93,1022,Overcast
12,28,13,17,06:32 AM,05:24 PM,12:32 AM,12:43 PM,7,ENE,0.0,53,80,1023,Overcast
12,27,12,13,06:32 AM,05:24 PM,No moonrise,12:06 PM,13,NNE,0.2,65,100,1025,Patchy rain possible
12,26,13,20,06:31 AM,05:23 PM,11:37 PM,11:31 AM,11,SE,1.5,67,100,1022,Moderate rain at times
12,25,19,25,06:31 AM,05:23 PM,10:42 PM,10:55 AM,7,SSE,3.1,69,89,1018,Moderate rain at times
12,24,17,23,06:30 AM,05:22 PM,09:49 PM,10:17 AM,5,ESE,0.1,80,79,1015,Patchy rain possible
12,23,17,23,06:30 AM,05:22 PM,09:49 PM,10:17 AM,5,ESE,0.1,80,79,1015,Patchy rain possible
12,22,15,27,06:29 AM,05:21 PM,08:00 PM,08:54 AM,6,SSE,0.0,56,10,1016,Sunny
12,21,16,26,06:29 AM,05:21 PM,07:06 PM,08:07 AM,7,SW,0.0,45,7,1017,Sunny
12,20,16,23,06:28 AM,05:20 PM,06:13 PM,07:17 AM,7,S,0.0,46,37,1018,Cloudy
12,19,14,22,06:28 AM,05:20 PM,05:23 PM,06:24 AM,13,NE,0.0,42,35,1022,Partly cloudy
12,18,15,20,06:27 AM,05:19 PM,04:36 PM,05:32 AM,15,NNE,0.0,61,92,1023,Overcast
12,17,18,24,06:27 AM,05:19 PM,03:53 PM,04:38 AM,14,SSW,0.0,70,80,1018,Overcast
12,16,18,25,06:26 AM,05:18 PM,03:14 PM,03:47 AM,5,SSW,0.0,81,74,1014,Overcast
12,15,17,25,06:25 AM,05:18 PM,02:38 PM,02:56 AM,8,SE,0.0,79,75,1014,Overcast
12,14,15,23,06:25 AM,05:17 PM,02:05 PM,02:06 AM,8,SE,0.0,73,44,1017,Overcast
12,13,17,23,06:24 AM,05:17 PM,01:32 PM,01:16 AM,10,ENE,0.0,54,35,1021,Partly cloudy
12,12,17,24,06:24 AM,05:17 PM,12:59 PM,12:24 AM,8,SSE,0.0,72,68,1021,Overcast
12,11,18,24,06:23 AM,05:16 PM,12:25 PM,No moonset,6,SSW,0.0,71,52,1020,Cloudy
12,10,17,26,06:23 AM,05:16 PM,11:48 AM,11:31 PM,8,SSW,0.0,66,50,1019,Overcast
12,9,18,20,06:22 AM,05:16 PM,11:06 AM,10:33 PM,7,WSW,3.8,76,86,1022,Patchy rain possible
12,8,14,24,06:21 AM,05:16 PM,10:18 AM,09:32 PM,5,SE,0.0,55,31,1021,Cloudy
12,7,13,24,06:21 AM,05:15 PM,09:23 AM,08:27 PM,6,SE,0.0,45,3,1021,Sunny
12,6,14,26,06:20 AM,05:15 PM,08:19 AM,07:20 PM,8,SSW,0.0,46,9,1020,Sunny
12,5,13,25,06:19 AM,05:15 PM,07:11 AM,06:14 PM,6,SSW,0.0,51,11,1022,Sunny
12,4,12,24,06:19 AM,05:15 PM,06:00 AM,05:13 PM,5,S,0.0,48,5,1022,Sunny
12,3,12,24,06:18 AM,05:14 PM,04:52 AM,04:19 PM,7,S,0.0,45,11,1022,Sunny
12,2,12,23,06:17 AM,05:14 PM,03:47 AM,03:32 PM,8,NE,0.0,40,8,1022,Sunny
12,1,15,23,06:17 AM,05:14 PM,02:45 AM,02:49 PM,11,ESE,0.0,49,15,1022,Sunny
11,30,18,25,06:16 AM,05:14 PM,01:47 AM,02:10 PM,14,ESE,0.0,56,62,1021,Overcast
11,29,18,27,06:16 AM,05:14 PM,12:50 AM,01:33 PM,6,S,0.0,56,36,1018,Cloudy
11,28,17,26,06:15 AM,05:14 PM,No moonrise,12:56 PM,5,SSW,0.0,60,45,1019,Cloudy
11,27,17,26,06:14 AM,05:14 PM,11:55 PM,12:18 PM,8,ESE,0.0,59,48,1018,Partly cloudy
11,26,17,26,06:14 AM,05:14 PM,11:00 PM,11:39 AM,9,SE,0.1,61,53,1018,Patchy rain possible
11,25,15,24,06:13 AM,05:14 PM,10:05 PM,10:56 AM,8,WNW,0.0,62,58,1019,Overcast
11,24,15,19,06:12 AM,05:14 PM,09:10 PM,10:10 AM,11,NNE,0.0,55,74,1022,Overcast
11,23,15,17,06:12 AM,05:14 PM,08:17 PM,09:21 AM,15,NNE,0.0,57,83,1022,Overcast
11,22,15,22,06:11 AM,05:14 PM,07:26 PM,08:29 AM,19,NE,1.2,67,94,1018,Patchy rain possible
11,21,22,29,06:10 AM,05:14 PM,06:38 PM,07:37 AM,7,SE,2.8,80,90,1012,Moderate rain at times
11,20,22,28,06:10 AM,05:14 PM,05:55 PM,06:43 AM,7,SSE,0.9,86,92,1009,Patchy rain possible
11,19,17,27,06:09 AM,05:15 PM,05:14 PM,05:51 AM,10,SE,0.0,77,75,1010,Overcast
11,18,18,23,06:09 AM,05:15 PM,04:37 PM,05:00 AM,10,SW,0.0,71,81,1016,Overcast
11,17,18,24,06:08 AM,05:15 PM,04:03 PM,04:09 AM,10,SSE,1.6,80,100,1017,Patchy rain possible
11,16,22,24,06:07 AM,05:15 PM,03:30 PM,03:19 AM,3,WSW,0.0,75,100,1015,Overcast
11,15,18,24,06:07 AM,05:15 PM,02:57 PM,02:28 AM,7,ENE,0.0,65,82,1016,Overcast
11,14,17,24,06:06 AM,05:16 PM,02:24 PM,01:37 AM,9,ESE,0.0,58,67,1018,Overcast
11,13,17,22,06:06 AM,05:16 PM,01:49 PM,12:42 AM,14,NNE,0.0,58,64,1019,Cloudy
11,12,19,22,06:05 AM,05:16 PM,01:10 PM,No moonset,13,NNE,0.0,60,96,1019,Overcast
11,11,15,25,06:04 AM,05:17 PM,12:26 PM,11:44 PM,7,ENE,0.0,57,43,1017,Partly cloudy
11,10,16,23,06:04 AM,05:17 PM,11:36 AM,10:42 PM,10,NNE,0.0,52,33,1019,Partly cloudy
11,9,16,23,06:03 AM,05:17 PM,10:38 AM,09:39 PM,13,NNE,0.0,52,46,1020,Cloudy
11,8,16,21,06:03 AM,05:18 PM,09:35 AM,08:34 PM,20,NNE,0.0,66,83,1020,Overcast
11,7,21,29,06:02 AM,05:18 PM,08:26 AM,07:33 PM,11,E,6.2,82,80,1011,Moderate rain at times
11,6,23,30,06:02 AM,05:19 PM,07:17 AM,06:36 PM,11,SE,0.0,83,75,1007,Overcast
11,5,23,32,06:01 AM,05:19 PM,06:10 AM,05:45 PM,14,SSE,0.0,78,46,1009,Overcast
11,4,22,30,06:01 AM,05:20 PM,05:05 AM,04:59 PM,12,SE,0.0,78,54,1012,Cloudy
11,3,22,27,06:00 AM,05:20 PM,04:04 AM,04:18 PM,6,ESE,0.1,86,91,1015,Overcast
11,2,21,24,06:00 AM,05:21 PM,03:05 AM,03:39 PM,6,ESE,5.6,87,100,1017,Moderate rain at times
11,1,20,22,05:59 AM,05:21 PM,02:07 AM,03:01 PM,7,ESE,3.4,90,100,1017,Moderate rain at times
10,31,20,21,05:59 AM,05:22 PM,01:10 AM,02:22 PM,6,NNW,3.4,90,100,1017,Moderate rain at times
10,30,20,21,05:58 AM,05:22 PM,12:13 AM,01:42 PM,9,S,21.0,91,100,1018,Moderate or heavy rain shower
10,29,20,22,05:58 AM,05:23 PM,No moonrise,12:59 PM,9,WNW,17.8,92,100,1018,Moderate or heavy rain shower
10,28,21,24,05:57 AM,05:23 PM,11:18 PM,12:14 PM,8,NW,7.6,82,100,1017,Heavy rain at times
10,27,21,27,05:57 AM,05:24 PM,10:23 PM,11:26 AM,7,SSE,0.0,69,65,1016,Overcast
10,26,19,28,05:56 AM,05:25 PM,09:31 PM,10:35 AM,6,E,0.0,69,41,1016,Overcast
10,25,18,26,05:56 AM,05:25 PM,08:42 PM,09:43 AM,8,S,0.0,66,42,1017,Partly cloudy
10,24,17,23,05:56 AM,05:26 PM,07:57 PM,08:49 AM,11,SW,0.0,67,71,1020,Cloudy
10,23,16,21,05:55 AM,05:27 PM,07:16 PM,07:57 AM,13,NNE,0.0,70,99,1021,Overcast
10,22,16,21,05:55 AM,05:27 PM,07:16 PM,07:57 AM,13,NNE,0.0,70,99,1021,Overcast
10,21,18,25,05:54 AM,05:28 PM,06:02 PM,06:14 AM,15,NE,13.8,85,93,1015,Moderate or heavy rain shower
10,20,22,30,05:54 AM,05:29 PM,05:28 PM,05:23 AM,8,SSE,0.0,83,77,1013,Overcast
10,19,19,22,05:54 AM,05:30 PM,04:55 PM,04:32 AM,6,SW,5.4,90,100,1017,Heavy rain at times
10,18,19,20,05:53 AM,05:30 PM,04:21 PM,03:40 AM,10,NW,14.6,85,100,1018,Moderate or heavy rain shower
10,17,19,22,05:53 AM,05:31 PM,03:47 PM,02:46 AM,14,E,0.7,78,91,1019,Overcast
10,16,19,21,05:53 AM,05:32 PM,03:09 PM,01:49 AM,17,ESE,9.6,88,99,1016,Patchy rain possible
10,15,21,21,05:52 AM,05:33 PM,02:27 PM,12:50 AM,13,WNW,25.9,92,100,1012,Moderate or heavy rain shower
10,14,21,22,05:52 AM,05:34 PM,01:40 PM,No moonset,22,NNW,61.9,88,100,1007,Moderate or heavy rain shower
10,13,22,28,05:51 AM,05:34 PM,12:47 PM,11:48 PM,14,NNW,14.4,75,70,1006,Moderate or heavy rain shower
10,12,21,29,05:51 AM,05:35 PM,11:48 AM,10:46 PM,12,WNW,0.0,78,56,1010,Cloudy
10,11,21,22,05:51 AM,05:36 PM,10:43 AM,09:45 PM,15,NNW,112.8,92,100,1010,Moderate or heavy rain shower
10,10,22,24,05:51 AM,05:37 PM,09:37 AM,08:48 PM,14,WNW,104.5,90,99,1007,Moderate or heavy rain shower
10,9,25,31,05:50 AM,05:38 PM,08:30 AM,07:57 PM,11,WSW,11.2,57,43,1006,Heavy rain at times
10,8,25,34,05:50 AM,05:39 PM,07:26 AM,07:10 PM,10,SSW,0.0,60,30,1006,Partly cloudy
10,7,25,33,05:50 AM,05:39 PM,06:23 AM,06:27 PM,7,SSW,0.3,65,33,1006,Patchy rain possible
