month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,12,23,06:33 AM,05:26 PM,01:35 PM,01:48 AM,4,SSE,0.0,69,8,1022,Partly cloudy
12,30,11,23,06:33 AM,05:25 PM,12:50 PM,12:51 AM,7,SE,0.0,62,7,1018,Sunny
12,29,12,22,06:32 AM,05:25 PM,12:06 PM,No moonset,6,E,0.0,50,17,1021,Partly cloudy
12,28,14,19,06:32 AM,05:24 PM,11:23 AM,11:53 PM,10,SW,0.8,63,43,1024,Partly cloudy
12,27,14,17,06:31 AM,05:24 PM,10:38 AM,10:54 PM,8,NE,5.3,80,94,1021,Patchy rain possible
12,26,18,20,06:31 AM,05:23 PM,09:52 AM,09:55 PM,4,E,1.0,79,94,1018,Patchy rain possible
12,25,16,23,06:31 AM,05:22 PM,09:04 AM,08:53 PM,6,S,0.1,63,34,1019,Partly cloudy
12,24,14,22,06:30 AM,05:22 PM,08:12 AM,07:51 PM,5,SSW,0.0,62,22,1021,Partly cloudy
12,23,10,21,06:30 AM,05:21 PM,07:17 AM,06:48 PM,3,SE,0.0,63,8,1020,Sunny
12,22,10,19,06:29 AM,05:21 PM,06:20 AM,05:47 PM,7,ENE,0.0,52,14,1023,Partly cloudy
12,21,11,21,06:29 AM,05:20 PM,05:22 AM,04:47 PM,12,ENE,0.0,59,17,1024,Partly cloudy
12,20,10,22,06:28 AM,05:20 PM,04:23 AM,03:53 PM,5,ENE,0.0,49,5,1020,Sunny
12,19,9,21,06:28 AM,05:19 PM,03:27 AM,03:03 PM,6,SE,0.0,40,12,1024,Sunny
12,18,8,19,06:27 AM,05:19 PM,02:32 AM,02:17 PM,5,NE,0.0,39,11,1025,Sunny
12,17,11,19,06:26 AM,05:19 PM,01:40 AM,01:35 PM,10,NNE,0.0,47,4,1028,Sunny
12,16,13,20,06:26 AM,05:18 PM,12:49 AM,12:56 PM,15,E,0.1,50,19,1027,Sunny
