month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,17,19,06:33 AM,05:26 PM,04:56 PM,05:50 AM,5,E,1.4,87,99,1015,Patchy rain possible
12,30,15,20,06:33 AM,05:26 PM,03:50 PM,04:45 AM,5,SE,0.8,87,93,1014,Patchy rain possible
12,29,15,23,06:32 AM,05:25 PM,02:49 PM,03:41 AM,3,SSE,0.3,83,55,1012,Overcast
12,28,14,19,06:32 AM,05:24 PM,01:56 PM,02:38 AM,5,ESE,0.0,65,30,1017,Partly cloudy
12,27,14,23,06:32 AM,05:24 PM,01:10 PM,01:40 AM,10,ENE,3.7,83,76,1016,Moderate or heavy rain shower
12,26,19,25,06:31 AM,05:23 PM,12:29 PM,12:45 AM,6,SE,1.0,83,61,1012,Patchy rain possible
12,25,18,26,06:31 AM,05:23 PM,11:54 AM,No moonset,5,ESE,3.1,85,76,1014,Moderate rain at times
12,24,15,27,06:30 AM,05:22 PM,11:20 AM,11:53 PM,5,SE,0.0,77,35,1014,Partly cloudy
12,23,14,26,06:30 AM,05:22 PM,10:48 AM,11:03 PM,6,S,0.0,82,49,1016,Cloudy
12,22,11,23,06:29 AM,05:21 PM,10:16 AM,10:14 PM,4,SW,0.0,69,28,1019,Partly cloudy
12,21,12,18,06:29 AM,05:21 PM,09:43 AM,09:26 PM,4,E,0.0,63,40,1025,Cloudy
12,20,12,14,06:28 AM,05:20 PM,09:07 AM,08:35 PM,6,S,0.0,66,74,1027,Overcast
12,19,12,16,06:28 AM,05:20 PM,08:29 AM,07:45 PM,7,NNE,0.0,67,94,1028,Overcast
12,18,12,16,06:27 AM,05:19 PM,07:46 AM,06:52 PM,6,ESE,0.0,73,95,1025,Overcast
12,17,12,16,06:27 AM,05:19 PM,06:59 AM,05:58 PM,8,E,0.0,78,92,1023,Overcast
12,16,16,19,06:26 AM,05:18 PM,06:08 AM,05:04 PM,7,NE,0.0,73,94,1020,Overcast
12,15,18,30,06:25 AM,05:18 PM,05:13 AM,04:12 PM,8,SE,0.3,73,64,1016,Patchy rain possible
12,14,18,29,06:25 AM,05:17 PM,04:16 AM,03:23 PM,10,SSE,1.5,77,47,1015,Moderate rain at times
12,13,18,27,06:24 AM,05:17 PM,03:19 AM,02:36 PM,8,SE,1.6,79,39,1016,Moderate rain at times
12,12,20,29,06:24 AM,05:17 PM,02:22 AM,01:54 PM,10,SSE,0.0,78,44,1015,Cloudy
12,11,19,29,06:23 AM,05:16 PM,01:26 AM,01:15 PM,10,SSE,0.0,76,46,1013,Cloudy
12,10,18,27,06:22 AM,05:16 PM,12:29 AM,12:36 PM,6,ESE,1.2,83,62,1014,Patchy rain possible
12,9,19,24,06:22 AM,05:16 PM,No moonrise,11:59 AM,9,SE,2.4,86,71,1014,Moderate rain at times
12,8,19,26,06:21 AM,05:16 PM,11:32 PM,11:21 AM,8,SE,3.9,81,70,1014,Moderate rain at times
12,7,18,27,06:21 AM,05:15 PM,10:32 PM,10:40 AM,6,SE,0.9,76,52,1014,Patchy rain possible
12,6,14,26,06:20 AM,05:15 PM,09:31 PM,09:56 AM,7,SE,0.0,72,22,1015,Partly cloudy
12,5,16,24,06:19 AM,05:15 PM,08:26 PM,09:06 AM,4,S,0.0,63,30,1019,Cloudy
12,4,14,24,06:19 AM,05:15 PM,07:19 PM,08:09 AM,5,E,0.0,70,30,1019,Partly cloudy
12,3,15,24,06:18 AM,05:15 PM,06:12 PM,07:08 AM,8,ENE,0.0,60,26,1022,Partly cloudy
12,2,16,26,06:17 AM,05:14 PM,05:09 PM,06:03 AM,6,ENE,0.2,68,40,1021,Partly cloudy
12,1,16,25,06:17 AM,05:14 PM,04:11 PM,04:58 AM,6,E,0.0,70,22,1021,Partly cloudy
11,30,18,26,06:16 AM,05:14 PM,03:21 PM,03:57 AM,6,E,0.1,78,38,1021,Patchy rain possible
11,29,18,26,06:15 AM,05:14 PM,02:37 PM,02:58 AM,7,ESE,0.2,80,38,1019,Patchy rain possible
11,28,18,28,06:15 AM,05:14 PM,01:58 PM,02:04 AM,5,ESE,0.9,78,39,1017,Patchy rain possible
11,27,19,27,06:14 AM,05:14 PM,01:23 PM,01:12 AM,6,SE,1.8,76,46,1016,Patchy rain possible
11,26,16,27,06:14 AM,05:14 PM,12:49 PM,12:22 AM,6,SE,0.1,76,38,1014,Patchy rain possible
11,25,14,27,06:13 AM,05:14 PM,12:16 PM,No moonset,4,S,0.1,76,28,1015,Patchy rain possible
11,24,13,26,06:12 AM,05:14 PM,11:44 AM,11:33 PM,5,SSW,0.0,68,9,1016,Sunny
