month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
2,22,22,33,06:22 AM,05:58 PM,04:24 AM,03:37 PM,10,SE,0.0,73,40,1006,Cloudy
2,23,22,34,06:21 AM,05:59 PM,05:03 AM,04:30 PM,10,SE,0.0,63,16,1007,Partly cloudy
2,24,23,34,06:21 AM,05:59 PM,05:40 AM,05:23 PM,11,SE,0.0,59,11,1008,Sunny
2,25,24,34,06:20 AM,05:59 PM,06:14 AM,06:15 PM,10,SE,0.0,66,17,1009,Partly cloudy
2,26,23,31,06:19 AM,06:00 PM,06:48 AM,07:08 PM,13,SE,0.4,68,36,1010,Patchy rain possible
2,27,23,29,06:19 AM,06:00 PM,07:22 AM,08:02 PM,12,SE,0.9,72,58,1011,Patchy rain possible
2,28,20,25,06:18 AM,06:01 PM,07:57 AM,08:58 PM,9,E,5.4,78,93,1014,Moderate rain at times
3,1,16,20,06:17 AM,06:01 PM,08:36 AM,09:57 PM,7,NNE,2.8,80,100,1017,Patchy rain possible
3,2,16,19,06:16 AM,06:01 PM,09:19 AM,10:58 PM,6,ENE,4.2,82,92,1017,Patchy rain possible
3,3,16,21,06:15 AM,06:02 PM,10:07 AM,No moonset,4,ESE,1.1,81,87,1015,Patchy rain possible
3,4,18,23,06:15 AM,06:02 PM,11:03 AM,12:02 AM,5,SSE,2.5,89,83,1009,Patchy rain possible
3,5,17,23,06:14 AM,06:03 PM,12:04 PM,01:05 AM,8,ENE,1.5,87,88,1010,Patchy rain possible
3,6,16,18,06:13 AM,06:03 PM,01:09 PM,02:06 AM,7,NE,0.3,80,93,1016,Patchy rain possible
3,7,14,21,06:12 AM,06:03 PM,02:15 PM,03:02 AM,7,SE,0.0,71,56,1016,Cloudy
3,8,16,21,06:11 AM,06:04 PM,03:20 PM,03:52 AM,4,ESE,0.0,83,72,1014,Overcast
3,9,16,26,06:11 AM,06:04 PM,04:23 PM,04:37 AM,7,S,0.4,68,34,1017,Cloudy
3,10,16,26,06:10 AM,06:04 PM,05:23 PM,05:18 AM,9,SE,0.0,80,41,1012,Partly cloudy
3,11,21,29,06:09 AM,06:05 PM,06:21 PM,05:56 AM,8,ESE,1.0,78,45,1009,Patchy rain possible
3,12,22,31,06:08 AM,06:05 PM,07:19 PM,06:33 AM,10,SE,0.5,78,49,1010,Patchy rain possible
3,13,16,27,06:07 AM,06:05 PM,08:15 PM,07:10 AM,11,E,11.2,77,56,1019,Moderate or heavy rain shower
3,14,14,23,06:06 AM,06:06 PM,09:12 PM,07:48 AM,8,ESE,0.0,51,4,1024,Sunny
3,15,13,24,06:05 AM,06:06 PM,10:08 PM,08:28 AM,6,SE,0.0,60,6,1017,Sunny
3,16,15,25,06:04 AM,06:06 PM,11:04 PM,09:12 AM,7,ESE,0.0,78,34,1014,Partly cloudy
3,17,18,27,06:04 AM,06:07 PM,11:57 PM,09:59 AM,7,ESE,0.9,83,65,1011,Patchy rain possible
3,18,20,28,06:03 AM,06:07 PM,No moonrise,10:49 AM,5,ESE,0.0,85,73,1010,Overcast
