month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,9,22,06:33 AM,05:26 PM,04:57 AM,04:22 PM,5,SW,0.0,53,0,1022,Sunny
12,30,9,19,06:33 AM,05:26 PM,03:54 AM,03:21 PM,5,E,0.0,47,1,1023,Sunny
12,29,8,18,06:32 AM,05:25 PM,02:52 AM,02:24 PM,5,ENE,0.0,42,4,1022,Sunny
12,28,8,18,06:32 AM,05:24 PM,01:53 AM,01:34 PM,6,NE,0.0,50,7,1022,Sunny
12,27,10,19,06:32 AM,05:24 PM,12:57 AM,12:49 PM,8,NNE,0.0,54,8,1024,Sunny
12,26,9,21,06:31 AM,05:23 PM,12:03 AM,12:07 PM,8,E,0.0,47,5,1022,Sunny
12,25,8,20,06:31 AM,05:23 PM,No moonrise,11:29 AM,6,SE,0.0,50,3,1022,Sunny
12,24,8,19,06:30 AM,05:22 PM,11:12 PM,10:51 AM,8,SE,0.0,54,3,1023,Sunny
12,23,8,20,06:30 AM,05:22 PM,10:22 PM,10:14 AM,6,ENE,0.0,52,1,1022,Sunny
12,22,8,19,06:29 AM,05:21 PM,09:33 PM,09:38 AM,6,S,0.0,54,0,1024,Sunny
12,21,8,17,06:29 AM,05:21 PM,08:43 PM,08:59 AM,9,NE,0.0,60,0,1025,Sunny
12,20,7,17,06:28 AM,05:20 PM,07:54 PM,08:19 AM,8,NNE,0.0,61,0,1024,Sunny
12,19,7,16,06:28 AM,05:20 PM,07:04 PM,07:37 AM,7,NNE,0.0,62,0,1023,Sunny
12,18,8,18,06:27 AM,05:19 PM,06:14 PM,06:51 AM,10,NNE,0.0,65,0,1022,Sunny
12,17,9,20,06:27 AM,05:19 PM,05:24 PM,06:03 AM,9,S,0.0,71,6,1020,Sunny
12,16,11,13,06:26 AM,05:18 PM,04:35 PM,05:14 AM,12,NNW,16.7,87,77,1021,Moderate or heavy rain shower
12,15,13,16,06:25 AM,05:18 PM,03:49 PM,04:22 AM,13,SSE,8.2,85,93,1018,Moderate rain at times
12,14,16,19,06:25 AM,05:17 PM,03:04 PM,03:30 AM,7,ENE,7.6,79,97,1017,Patchy rain possible
12,13,16,18,06:24 AM,05:17 PM,02:20 PM,02:36 AM,8,ENE,5.0,73,90,1017,Moderate rain at times
12,12,16,20,06:24 AM,05:17 PM,01:39 PM,01:43 AM,5,NE,0.0,72,75,1015,Overcast
12,11,17,19,06:23 AM,05:16 PM,12:58 PM,12:48 AM,7,ESE,0.6,75,96,1016,Overcast
12,10,16,24,06:22 AM,05:16 PM,12:17 PM,No moonset,7,E,0.0,65,30,1013,Partly cloudy
12,9,15,25,06:22 AM,05:16 PM,11:36 AM,11:53 PM,6,E,0.0,65,22,1016,Partly cloudy
12,8,15,26,06:21 AM,05:16 PM,10:52 AM,10:55 PM,7,SSE,0.0,66,5,1014,Sunny
12,7,16,25,06:21 AM,05:15 PM,10:05 AM,09:55 PM,4,ESE,0.0,64,11,1017,Sunny
12,6,15,25,06:20 AM,05:15 PM,09:15 AM,08:53 PM,6,SSE,0.0,64,15,1017,Sunny
12,5,14,25,06:19 AM,05:15 PM,08:19 AM,07:49 PM,6,SE,0.0,63,14,1016,Partly cloudy
12,4,15,26,06:19 AM,05:15 PM,07:19 AM,06:44 PM,5,SSW,0.0,57,2,1018,Sunny
12,3,14,25,06:18 AM,05:15 PM,06:16 AM,05:42 PM,4,SSE,0.0,56,1,1018,Sunny
