month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,15,22,06:33 AM,05:26 PM,07:50 AM,07:18 PM,4,E,0.0,55,76,1022,Overcast
12,30,13,22,06:33 AM,05:26 PM,07:02 AM,06:25 PM,6,ENE,0.0,55,20,1024,Partly cloudy
12,29,11,23,06:32 AM,05:25 PM,06:13 AM,05:34 PM,9,E,0.0,57,8,1025,Sunny
12,28,13,21,06:32 AM,05:24 PM,05:24 AM,04:45 PM,8,NE,0.0,59,9,1023,Sunny
12,27,15,19,06:32 AM,05:24 PM,04:33 AM,03:59 PM,13,NNE,0.1,65,60,1023,Overcast
12,26,17,27,06:31 AM,05:23 PM,03:44 AM,03:16 PM,11,ESE,1.9,80,82,1016,Moderate rain at times
12,25,21,25,06:31 AM,05:23 PM,02:54 AM,02:35 PM,11,SE,0.2,86,87,1015,Patchy rain possible
12,24,19,24,06:30 AM,05:22 PM,02:05 AM,01:56 PM,8,SE,0.5,82,83,1016,Patchy rain possible
12,23,17,24,06:30 AM,05:22 PM,01:16 AM,01:19 PM,7,SSW,0.0,71,49,1018,Cloudy
12,22,18,24,06:29 AM,05:21 PM,12:27 AM,12:42 PM,12,E,2.7,74,66,1019,Overcast
12,21,21,29,06:29 AM,05:21 PM,No moonrise,12:05 PM,10,SE,1.5,81,74,1016,Patchy rain possible
12,20,20,26,06:28 AM,05:20 PM,11:37 PM,11:28 AM,12,SE,0.2,86,83,1014,Patchy rain possible
12,19,19,25,06:28 AM,05:20 PM,10:44 PM,10:47 AM,6,SSE,0.0,86,89,1016,Overcast
12,18,16,22,06:27 AM,05:19 PM,09:50 PM,10:03 AM,5,SE,0.0,80,91,1019,Overcast
12,17,13,22,06:27 AM,05:19 PM,08:52 PM,09:14 AM,7,ESE,0.0,60,29,1021,Partly cloudy
12,16,13,18,06:26 AM,05:18 PM,07:52 PM,08:20 AM,7,SE,0.0,65,64,1026,Overcast
12,15,15,17,06:26 AM,05:18 PM,06:51 PM,07:22 AM,12,SSE,1.6,77,96,1023,Patchy rain possible
12,14,17,22,06:25 AM,05:18 PM,05:49 PM,06:19 AM,13,NE,5.4,78,92,1018,Patchy rain possible
12,13,20,27,06:24 AM,05:17 PM,04:50 PM,05:14 AM,6,SE,7.4,76,86,1014,Moderate rain at times
12,12,19,29,06:24 AM,05:17 PM,03:54 PM,04:09 AM,10,SSE,0.2,77,38,1011,Partly cloudy
12,11,16,26,06:23 AM,05:16 PM,03:02 PM,03:05 AM,8,S,0.0,73,23,1014,Partly cloudy
12,10,16,26,06:23 AM,05:16 PM,02:13 PM,02:03 AM,6,ESE,0.0,61,0,1016,Sunny
12,9,16,27,06:22 AM,05:16 PM,01:28 PM,01:04 AM,5,ESE,0.0,54,1,1015,Sunny
12,8,14,26,06:21 AM,05:16 PM,12:45 PM,12:06 AM,7,W,0.0,48,4,1017,Sunny
12,7,15,25,06:21 AM,05:15 PM,12:02 PM,No moonset,6,ESE,0.0,47,8,1020,Sunny
12,6,17,26,06:20 AM,05:15 PM,11:20 AM,11:11 PM,11,ESE,0.0,55,20,1022,Partly cloudy
12,5,18,28,06:20 AM,05:15 PM,10:36 AM,10:16 PM,6,SE,0.1,67,36,1019,Partly cloudy
12,4,18,26,06:19 AM,05:15 PM,09:52 AM,09:22 PM,5,W,0.0,69,68,1019,Overcast
12,3,17,25,06:18 AM,05:15 PM,09:05 AM,08:29 PM,5,E,0.0,65,77,1021,Overcast
12,2,17,24,06:18 AM,05:14 PM,08:17 AM,07:38 PM,6,ESE,0.0,54,36,1022,Partly cloudy
12,1,15,24,06:17 AM,05:14 PM,07:28 AM,06:49 PM,10,ENE,0.0,58,44,1024,Partly cloudy
11,30,15,21,06:16 AM,05:14 PM,06:38 AM,06:02 PM,13,E,0.0,62,74,1024,Overcast
11,29,14,23,06:16 AM,05:14 PM,05:49 AM,05:18 PM,8,E,0.0,61,28,1022,Partly cloudy
11,28,13,23,06:15 AM,05:14 PM,04:59 AM,04:36 PM,7,NE,0.0,58,8,1021,Sunny
11,27,14,23,06:14 AM,05:14 PM,04:09 AM,03:57 PM,8,SSW,0.0,63,11,1019,Sunny
11,26,15,19,06:14 AM,05:14 PM,03:21 AM,03:19 PM,12,E,0.4,70,65,1019,Patchy rain possible
11,25,16,19,06:13 AM,05:14 PM,02:32 AM,02:42 PM,9,NE,0.0,75,93,1016,Overcast
11,24,15,18,06:12 AM,05:14 PM,01:43 AM,02:05 PM,9,NE,1.0,73,99,1019,Overcast
11,23,17,27,06:12 AM,05:14 PM,12:52 AM,01:29 PM,10,E,5.0,76,84,1015,Moderate rain at times
11,22,24,30,06:11 AM,05:14 PM,12:00 AM,12:50 PM,5,S,1.2,75,55,1011,Patchy rain possible
11,21,23,30,06:11 AM,05:14 PM,No moonrise,12:09 PM,5,S,0.7,76,59,1011,Patchy rain possible
11,20,23,30,06:10 AM,05:14 PM,11:06 PM,11:25 AM,5,S,0.2,76,38,1012,Patchy rain possible
11,19,22,30,06:09 AM,05:15 PM,10:09 PM,10:35 AM,5,SSW,0.7,76,32,1012,Patchy rain possible
11,18,21,30,06:09 AM,05:15 PM,09:11 PM,09:41 AM,5,SE,0.5,78,40,1013,Patchy rain possible
11,17,22,29,06:08 AM,05:15 PM,08:10 PM,08:41 AM,8,SE,0.0,81,46,1015,Overcast
11,16,22,29,06:08 AM,05:15 PM,07:10 PM,07:38 AM,8,SE,0.0,83,50,1016,Cloudy
11,15,23,30,06:07 AM,05:15 PM,06:12 PM,06:32 AM,10,SE,0.9,81,51,1015,Patchy rain possible
11,14,23,30,06:06 AM,05:16 PM,05:17 PM,05:27 AM,10,SE,0.0,85,68,1014,Cloudy
11,13,21,30,06:06 AM,05:16 PM,04:25 PM,04:22 AM,10,SSE,0.0,85,69,1015,Cloudy
11,12,18,26,06:05 AM,05:16 PM,03:37 PM,03:19 AM,6,ESE,0.0,85,79,1016,Overcast
11,11,14,22,06:05 AM,05:17 PM,02:51 PM,02:18 AM,6,SE,0.6,74,54,1018,Patchy rain possible
11,10,14,16,06:04 AM,05:17 PM,02:06 PM,01:20 AM,9,S,12.6,86,84,1023,Moderate or heavy rain shower
11,9,15,17,06:03 AM,05:17 PM,01:22 PM,12:22 AM,14,N,3.7,84,100,1021,Patchy rain possible
11,8,17,25,06:03 AM,05:18 PM,12:38 PM,No moonset,14,E,27.8,81,83,1018,Moderate or heavy rain shower
11,7,23,28,06:02 AM,05:18 PM,11:53 AM,11:27 PM,4,SE,1.8,82,84,1015,Patchy rain possible
11,6,21,28,06:02 AM,05:19 PM,11:07 AM,10:33 PM,7,ESE,0.3,81,67,1013,Patchy rain possible
11,5,20,29,06:01 AM,05:19 PM,10:19 AM,09:42 PM,8,SSE,0.0,73,11,1011,Sunny
11,4,19,28,06:01 AM,05:20 PM,09:31 AM,08:52 PM,5,E,0.0,64,6,1015,Sunny
11,3,19,27,06:00 AM,05:20 PM,08:41 AM,08:04 PM,9,ESE,0.0,64,43,1020,Partly cloudy
11,2,20,24,06:00 AM,05:21 PM,07:52 AM,07:20 PM,11,S,0.0,70,81,1021,Overcast
11,1,20,22,05:59 AM,05:21 PM,07:02 AM,06:37 PM,11,S,6.7,79,96,1021,Heavy rain at times
10,31,20,22,05:59 AM,05:22 PM,06:13 AM,05:57 PM,9,WSW,17.7,82,100,1020,Moderate or heavy rain shower
10,30,20,23,05:58 AM,05:22 PM,05:24 AM,05:18 PM,12,SW,15.3,79,97,1020,Moderate or heavy rain shower
10,29,22,30,05:58 AM,05:23 PM,04:35 AM,04:41 PM,10,ENE,7.5,75,61,1017,Moderate or heavy rain shower
10,28,25,32,05:57 AM,05:23 PM,03:46 AM,04:04 PM,8,ESE,0.0,76,47,1014,Cloudy
10,27,24,32,05:57 AM,05:24 PM,02:56 AM,03:28 PM,9,SE,0.0,78,44,1015,Cloudy
10,26,25,31,05:57 AM,05:25 PM,02:05 AM,02:49 PM,11,SSE,0.7,79,50,1014,Patchy rain possible
10,25,25,30,05:56 AM,05:25 PM,01:13 AM,02:10 PM,10,SE,8.8,79,68,1011,Moderate or heavy rain shower
10,24,25,32,05:56 AM,05:26 PM,12:18 AM,01:28 PM,8,SE,7.9,76,43,1009,Moderate or heavy rain shower
10,23,25,31,05:55 AM,05:27 PM,No moonrise,12:42 PM,7,ESE,7.6,76,56,1009,Heavy rain at times
